date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017-07-31,702743806.587,230867.0,0.0,294.46,1075960.0,1812.5,194.86886623,
2017-08-01,506586501.079,76537.0,0.0,380.01,65988800.0,1112.5,51.70601851,
2017-08-02,104044590.675,7416.0,6302360000.0,452.66,416207000.0,87.5,6.28890264,
2017-08-03,341324719.453,20909.0,7392030000.0,364.05,161518000.0,437.5,20.23473119,
2017-08-04,288007069.198,26517.0,5969720000.0,233.05,185038000.0,237.5,21.32449804,
2017-08-05,213669299.713,15194.0,3809330000.0,213.15,144043000.0,162.5,11.2242577601,
2017-08-06,199123778.465,11791.0,3497290000.0,220.66,107606000.0,812.5,9.15282496002,
2017-08-07,404003863.2,16114.0,3688360000.0,319.69,346546000.0,975.0,8.68035229999,
2017-08-08,335520081.677,12855.0,5297390000.0,345.49,274880000.0,287.5,8.44009814001,
2017-08-09,167114286.104,10798.0,5691960000.0,303.89,165032000.0,1187.5,5.51291228001,
2017-08-10,122325883.557,9949.0,5031790000.0,275.95,136637000.0,1250.0,5.30796253,
2017-08-11,225970160.334,10507.0,4548600000.0,328.24,233971000.0,837.5,4.78128428,
2017-08-12,238546880.162,7543.0,5405200000.0,317.09,126007000.0,900.0,4.60345208,
2017-08-13,84162561.8735,7814.0,5215330000.0,298.05,120722000.0,975.0,4.83887706,
2017-08-14,143003632.962,9833.0,4882720000.0,297.68,174968000.0,1137.5,5.78545113,
2017-08-15,144919745.699,7696.0,4917480000.0,297.86,133924000.0,1400.0,4.87569032,
2017-08-16,101083320.664,135552.0,4914350000.0,300.21,106436000.0,1050.0,4.35333251001,
2017-08-17,414283286.568,10813.0,4964980000.0,460.53,744605000.0,812.5,8.46124585999,
2017-08-18,1047626753.16,22796.0,7565590000.0,690.24,3087490000.0,812.5,8.81946855001,
2017-08-19,920639968.752,27728.0,11498100000.0,754.56,3196230000.0,1637.5,11.99113257,
2017-08-20,439792962.281,19530.0,12742600000.0,712.87,1494020000.0,5800.0,8.876545,
2017-08-21,272654378.025,16436.0,11943100000.0,599.63,1123400000.0,9550.0,7.12165057,
2017-08-22,547069460.504,15033.0,9844620000.0,690.88,1393260000.0,10687.5,6.34074654,
2017-08-23,334206688.197,9684.0,11416800000.0,669.4,501983000.0,275.0,4.19772886,
2017-08-24,701449710.172,13311.0,11071100000.0,628.11,407177000.0,7112.5,7.21468871,
2017-08-25,383988216.571,10916.0,10365600000.0,641.05,348632000.0,8600.0,5.53354222001,
2017-08-26,259884987.116,8233.0,10616100000.0,625.32,193414000.0,8450.0,3.66496469,
2017-08-27,275027105.03,6328.0,10357000000.0,620.9,402718000.0,537.5,2.93697367999,
2017-08-28,210071356.514,10161.0,10254800000.0,596.18,216273000.0,2175.0,4.39485369,
2017-08-29,544202427.682,12858.0,9866110000.0,552.93,370017000.0,1775.0,5.11311822,
2017-08-30,798949273.893,15867.0,9092300000.0,575.21,443856000.0,1075.0,3.97986964995,
2017-08-31,203015680.89,13568.0,9538750000.0,588.17,298144000.0,1075.0,4.39237605999,
2017-09-01,234323733.342,10362.0,9740460000.0,622.17,393839000.0,1450.0,3.7594561,
2017-09-02,195325767.087,7858.0,10297000000.0,575.9,350478000.0,1675.0,2.77770443,
2017-09-03,231201593.049,7515.0,9574520000.0,607.43,344862000.0,1637.5,2.50160359,
2017-09-04,325412418.855,7599.0,10072200000.0,517.24,328957000.0,1612.5,4.31505577,
2017-09-05,321906070.197,7328.0,8527100000.0,541.71,338978000.0,1400.0,2.36431425999,
2017-09-06,451833931.484,8578.0,8964700000.0,638.18,693240000.0,1750.0,2.3711804,
2017-09-07,254086798.297,8677.0,10548500000.0,652.86,1082380000.0,2587.5,2.36196092,
2017-09-08,223230183.699,7552.0,10840500000.0,583.1,809763000.0,2350.0,1.71427558999,
2017-09-09,460676552.97,6257.0,9688150000.0,547.47,234578000.0,1975.0,1.52744926,
2017-09-10,195015123.539,5430.0,9055430000.0,537.07,289508000.0,1937.5,1.16558703,
2017-09-11,416496683.984,7256.0,8902570000.0,537.81,274712000.0,2175.0,1.20747464,
2017-09-12,254991420.296,5993.0,8934220000.0,510.41,273825000.0,2412.5,1.31772647,
2017-09-13,142113798.616,6356.0,8445540000.0,503.61,340344000.0,2150.0,1.31399,
2017-09-14,188653735.454,7296.0,8359650000.0,367.04,257431000.0,2325.0,2.22638457,
2017-09-15,312282251.279,8634.0,6126800000.0,424.02,707231000.0,2125.0,2.0176211,
2017-09-16,232763533.211,7809.0,7039590000.0,440.22,313583000.0,2137.5,1.84246263,
2017-09-17,137496359.307,5027.0,7279520000.0,419.86,221828000.0,2212.5,0.735145989998,
2017-09-18,462243258.926,8675.0,7001640000.0,479.32,458550000.0,4462.5,1.34094764,
2017-09-19,738130154.902,9520.0,7975010000.0,527.88,802321000.0,3325.0,1.42698772999,
2017-09-20,239125337.868,8099.0,8741670000.0,476.05,669264000.0,3100.0,1.38372934999,
2017-09-21,201772523.984,5859.0,7898300000.0,416.26,316731000.0,425.0,1.15108873,
2017-09-22,488630528.69,6746.0,6937170000.0,415.09,241905000.0,5125.0,1.28153827,
2017-09-23,180425546.561,5601.0,6895970000.0,428.5,189127000.0,4400.0,0.887500270001,
2017-09-24,141612703.305,6580.0,7121950000.0,421.03,114527000.0,3300.0,1.0734338,
2017-09-25,273432479.09,8976.0,6971280000.0,445.8,302272000.0,3525.0,1.36306084003,
2017-09-26,194297293.585,6464.0,7400020000.0,441.83,165303000.0,3912.5,1.09161226,
2017-09-27,426283826.013,8802.0,7343490000.0,457.31,197885000.0,3450.0,1.13267958,
2017-09-28,359784261.865,7926.0,7592000000.0,447.81,300421000.0,912.5,1.27726594,
2017-09-29,235395289.786,5755.0,7441960000.0,436.77,148725000.0,162.5,1.25288,
2017-09-30,269507102.946,8445.0,7258880000.0,432.63,150565000.0,7350.0,1.64584862,
2017-10-01,385685172.365,7883.0,7207770000.0,415.15,164290000.0,12125.0,1.25746341999,
2017-10-02,280704294.324,7252.0,6921580000.0,421.19,219590000.0,5462.5,1.2556313,
2017-10-03,205404744.73,4542.0,7022370000.0,404.18,130247000.0,175.0,1.02391342,
2017-10-04,403164825.285,9481.0,6729640000.0,358.45,251584000.0,10600.0,1.89150925,
2017-10-05,463326044.597,8625.0,5971260000.0,355.75,268341000.0,14112.5,2.39906598999,
2017-10-06,359878495.148,6088.0,5926540000.0,363.01,182031000.0,425.0,1.16513426999,
2017-10-07,208921574.626,5044.0,6062860000.0,360.78,91004000.0,1762.5,1.19532024,
2017-10-08,340344605.981,6828.0,6004940000.0,342.21,203754000.0,1337.5,1.58498505,
2017-10-09,433251734.156,9074.0,5716320000.0,314.16,288075000.0,1137.5,1.84858971998,
2017-10-10,288591423.271,8335.0,5224170000.0,321.59,367809000.0,1400.0,2.04591345,
2017-10-11,205895126.647,7284.0,5341000000.0,314.9,131577000.0,1250.0,1.92143734003,
2017-10-12,383320960.564,12256.0,5262390000.0,313.21,262066000.0,6950.0,3.01332509001,
2017-10-13,276960859.902,14947.0,5242630000.0,321.46,288210000.0,11612.5,4.41591041,
2017-10-14,168386435.201,12997.0,5369720000.0,321.96,164137000.0,1175.0,7.54337325001,
2017-10-15,109001329.754,8288.0,5384760000.0,314.95,133385000.0,525.0,2.91138846,
2017-10-16,212487779.662,9968.0,5265400000.0,313.64,117797000.0,700.0,2.41668296001,
2017-10-17,424365577.49,13193.0,5239520000.0,371.73,1008160000.0,387.5,2.74179545001,
2017-10-18,363489527.062,10049.0,6240990000.0,339.17,477184000.0,1187.5,2.56346339999,
2017-10-19,171633705.543,9348.0,5667070000.0,330.81,195578000.0,1437.5,1.77423759001,
2017-10-20,239454478.691,18183.0,5527860000.0,327.44,160204000.0,1500.0,2.11907119,
2017-10-21,158457349.042,9069.0,5458980000.0,323.36,129938000.0,937.5,1.66897923,
2017-10-22,172292937.875,7376.0,5405020000.0,331.66,355546000.0,175.0,1.39896010001,
2017-10-23,169112842.482,9250.0,5524790000.0,315.6,191558000.0,1350.0,2.01424906,
2017-10-24,189047441.66,8717.0,5278410000.0,326.89,267442000.0,1975.0,1.86735472,
2017-10-25,179355774.01,10485.0,5457720000.0,332.13,151935000.0,2150.0,1.98621041,
2017-10-26,203627214.005,9350.0,5550700000.0,338.2,234967000.0,4987.5,1.89708771,
2017-10-27,247987628.762,11743.0,5655870000.0,367.57,501989000.0,14600.0,2.39550734,
2017-10-28,507973607.461,11800.0,6183520000.0,423.35,781037000.0,15675.0,2.23479461999,
2017-10-29,789691556.156,12962.0,7042260000.0,451.92,2002440000.0,1162.5,2.45184143999,
2017-10-30,544385311.719,14855.0,7679000000.0,448.23,796409000.0,912.5,3.254575,
2017-10-31,342768142.216,11353.0,7527260000.0,439.05,343799000.0,962.5,2.18451816,
2017-11-01,583936718.8,13645.0,7342250000.0,531.83,1152230000.0,1000.0,3.06784607001,
2017-11-02,797848184.43,17751.0,8840010000.0,587.22,1632060000.0,1012.5,3.93366783,
2017-11-03,960963847.293,22425.0,9839760000.0,625.32,1682210000.0,4437.5,4.2538031,
2017-11-04,434152738.966,15077.0,10647200000.0,620.45,1161370000.0,3750.0,2.82618354001,
2017-11-05,453296196.142,16958.0,10390900000.0,630.7,816028000.0,2275.0,3.10678128,
2017-11-06,630858876.257,19297.0,10566600000.0,602.65,794105000.0,2787.5,2.92330696,
2017-11-07,437312984.972,17192.0,10105200000.0,616.3,375367000.0,2775.0,3.41629939999,
2017-11-08,819270425.459,23218.0,10317500000.0,622.46,837646000.0,2725.0,4.12320792,
2017-11-09,1176480767.41,24815.0,10437700000.0,654.3,710387000.0,1762.5,4.45365019001,
2017-11-10,6056179661.84,46855.0,10933000000.0,1007.42,5195420000.0,5675.0,8.12904659008,
2017-11-11,8520625840.18,46787.0,16807400000.0,1340.45,5139770000.0,9300.0,8.19722994006,
2017-11-12,7304117695.13,76458.0,22614400000.0,1388.86,8371320000.0,10862.5,14.59882916,
2017-11-13,3079774677.81,35112.0,23214700000.0,1353.99,4850570000.0,762.5,8.31108119,
2017-11-14,1429165345.67,24406.0,22626200000.0,1273.53,1697910000.0,1700.0,8.0931007,
2017-11-15,1936089613.92,24790.0,21335600000.0,1212.4,1321780000.0,2112.5,7.43158824001,
2017-11-16,1052336883.1,28469.0,20202000000.0,900.78,2034690000.0,1025.0,7.97368086001,
2017-11-17,2550669524.14,22432.0,15279000000.0,1185.48,3203430000.0,1950.0,9.22575883,
2017-11-18,1551750885.54,22013.0,20125900000.0,1254.53,3053770000.0,2075.0,6.2505701,
2017-11-19,1698472297.73,14869.0,21196200000.0,1172.05,1285910000.0,1662.5,4.09528383999,
2017-11-20,1167726557.56,15738.0,19710200000.0,1236.01,800053000.0,1762.5,3.60323072,
2017-11-21,1521780956.96,18071.0,20525100000.0,1176.97,772859000.0,1912.5,4.30914317,
2017-11-22,1758011405.81,18927.0,19758600000.0,1303.31,1517620000.0,1862.5,9.38299134999,
2017-11-23,2225676829.62,27057.0,21899400000.0,1683.81,4112090000.0,2012.5,3.40935394999,
2017-11-24,1696993259.65,24345.0,27782400000.0,1648.51,3128960000.0,1637.5,3.23172586,
2017-11-25,1107157838.38,18565.0,27484900000.0,1571.27,1560040000.0,1837.5,2.72247894,
2017-11-26,997485619.875,18929.0,26434500000.0,1735.66,1593050000.0,1762.5,2.33252906,
2017-11-27,2197540505.55,20146.0,28986800000.0,1622.57,1391460000.0,1525.0,2.52455452,
2017-11-28,2483118315.01,23380.0,27277200000.0,1546.18,1274880000.0,1812.5,2.63699524001,
2017-11-29,2111386582.84,28233.0,25941800000.0,1359.71,2345250000.0,1774.85590507,3.30871310001,
2017-11-30,1758563237.19,21815.0,23230400000.0,1389.78,1211730000.0,1675.0,2.35942721999,
2017-12-01,1181615062.64,19169.0,23257100000.0,1462.68,965151000.0,1850.0,2.18879575,
2017-12-02,1021613154.81,17581.0,24610500000.0,1434.98,574510000.0,1712.5,1.95560365,
2017-12-03,1678018506.54,21761.0,24163600000.0,1559.93,1476740000.0,1787.5,2.25182489001,
2017-12-04,1620006745.66,21854.0,26267300000.0,1576.92,780634000.0,1775.0,2.23789110001,
2017-12-05,1775174870.07,20813.0,26606900000.0,1501.85,1032800000.0,1850.0,2.15972999001,
2017-12-06,2206501646.46,26703.0,25234400000.0,1430.1,1154620000.0,1950.0,3.11935040999,
2017-12-07,1548214951.04,24274.0,24095900000.0,1330.93,1285210000.0,950.0,2.98545941999,
2017-12-08,13710120757.0,27341.0,22386700000.0,1464.13,2553980000.0,2162.5,3.22386862,
2017-12-09,2294739980.49,18108.0,24671600000.0,1410.06,1059610000.0,1850.0,2.63721723001,
2017-12-10,1568943206.54,16352.0,23784900000.0,1323.07,885886000.0,1625.0,1.79230544,
2017-12-11,1106038350.12,22787.0,22239900000.0,1423.38,922792000.0,1825.0,2.41267119,
2017-12-12,1833692885.59,25125.0,24051800000.0,1615.03,1386250000.0,1800.0,2.84742061999,
2017-12-13,2522255824.35,23160.0,27249600000.0,1607.65,1245190000.0,1975.0,2.40974637,
2017-12-14,4649529441.61,35177.0,26977700000.0,1966.14,2717410000.0,1887.5,3.5602122,
2017-12-15,2595228708.63,28591.0,33284800000.0,1815.43,1457230000.0,1699.99577502,3.49314199,
2017-12-16,1806855848.95,25037.0,30762600000.0,1801.88,971255000.0,1550.0,3.32447723001,
2017-12-17,1053372559.87,28796.0,30554500000.0,1862.88,1020590000.0,1862.5,3.87252355,
2017-12-18,3425660956.09,32452.0,31516900000.0,2196.64,2538650000.0,2187.5,4.21425997001,
2017-12-19,12114080130.3,57288.0,37083300000.0,2805.89,3913340000.0,1887.5,6.67871052001,
2017-12-20,19353483122.2,127904.0,47644600000.0,3923.07,11889600000.0,2037.5,32.78148611,
2017-12-21,5778092185.63,77136.0,65933700000.0,3267.17,3664330000.0,1637.5,7.75477235001,
2017-12-22,4658481327.41,54048.0,56071800000.0,2696.69,3877770000.0,1575.0,6.53308475,
2017-12-23,4758459312.5,47006.0,46342000000.0,3257.08,2843310000.0,1987.5,4.34047209001,
2017-12-24,2161806422.04,34686.0,55013200000.0,2903.12,1712160000.0,1987.5,2.75322425,
2017-12-25,2048220499.15,28791.0,49430800000.0,2954.69,1355440000.0,1562.5,3.09369754001,
2017-12-26,2137915292.75,31570.0,49745700000.0,3108.89,1544430000.0,1787.5,2.64458879,
2017-12-27,2530399115.83,47033.0,52461200000.0,2889.52,1406450000.0,1775.0,5.07017577,
2017-12-28,2567978567.63,33174.0,48758700000.0,2566.64,3221300000.0,1837.5,3.19988789001,
2017-12-29,3094897123.17,43170.0,43677000000.0,2779.95,2479420000.0,1687.5,5.07105197001,
2017-12-30,1655600917.4,35630.0,47129800000.0,2392.41,1257760000.0,1975.0,4.99510947,
2017-12-31,1417177899.63,28315.0,40134900000.0,2533.01,1300820000.0,1775.0,4.01495387,
2018-01-01,1575982629.99,24050.0,42804800000.0,2432.54,922813000.0,1637.5,3.27212982,
